Type,Data,Info
Description,https://www.netcraft.com/blog/hurricane-melissa-jamaica-relief-scams,Scam charity sites using Hurricane Melissa (2025) as a lure
Domain,hurricanemelissajamaica[.]com,
Domain,jamaica-hurricane-help[.]com,
Domain,jamaicahurricanehelp[.]net,
Domain,jamaicahurricanehelp[.]org,
Domain,jamaicahurricanerecovery[.]org,
Domain,jamaicahurricanerelief[.]com,
Domain,jamaica-relief[.]com,
Domain,jamaicarelief[.]life,
Domain,melissareliefjamaica[.]com,
Domain,melissareliefjamaica[.]net,
Domain,melissareliefjamaica[.]org,
Domain,supportjamaicagovjm[.]com,
Domain,supportjamaicagovjm[.]net,
Domain,www.donate.melissarelieffundtojamaicans[.]online,
Domain,melissarelieffundtojamaicans[.]online,
